'cause,because
'twas,it was
a'ight,alright
ain't,am not
amn't,am not
arencha,are not you
aren't ,are not
'bout,about
can't,cannot
cap'n        ,captain
'cause,because

could've,could have
couldn't,could not
couldn't've,could have not
cuz,because
didn't,did not
doesn't,do not
don't,do not
everybody's,everybody has
hasn't,has not
haven't,have not
he'd,he would
he'll,he will
he's,he is
here's,here is
how'd,how did
how'll,how will
how're,how are
how's,how is
i'am,I am
i'd,I had
i'll,I will
i'm,I am
i've,I have
isn't,is not
it'd,it would
it'll,it will
it's,it is
let's,let us
ma'am,madam
may've,may have
might've,might have
mightn't,might not
must've,must have
mustn't,must not
needn't,need not
nothing's,nothing is
ought'nt,ought not
ought've,ought have
shan't,shall not
she'd,she had
she'll,she will
she's,she is
should've,should have
shouldn't,should not
somebody's,somebody is
someone's,someone is
something's,something is
that'd,that would
that'll,that will
that're,that are
that's,that is
there'd,there had
there'll,there will
there's,there has
these're,these are
these've,these have
they'd,they had
they'll,they will
they're,they are
they've,they have
this's,this is
wasn't,was not
we'd,we had
we'll,we will
we're,we are
we've,we have
weren't,were not
what'd,what did
what'll,what will
what're,what are
what's,what is
what've,what have
where'd,where did
where're,where are
where's,where is
where've,where have
who'd,who had
who'll,who will
who's,who is
who've,who have
why'd,why did
why'll,why will
why're,why are
why's,why is
won't,would not
would've,would have
wouldn't,would not
y'know,you know
you'd,you had
you'll,you will
you're,you are
you've,you have
